from,to,cost
0,0,0.0
0,1,2.3654
0,2,4.3828
0,3,6.3786
0,4,6.4633
0,5,8.2895
0,6,4.6664
0,7,8.4308
0,8,6.2725
0,9,10.2427
0,10,10.2492
0,11,12.3537
0,12,14.3471
0,13,12.2232
0,14,10.4933
0,15,8.3302
0,16,11.3399
0,17,12.6801
0,18,14.2242
0,19,16.3793
0,20,18.4395
0,21,16.3105
0,22,14.6443
0,23,12.4945
0,24,15.339
0,25,16.9917
0,26,19.1011
0,27,22.3254
0,28,2.1031
0,29,4.3399
0,30,2.0084
0,31,4.5319
0,32,7.5157
0,33,6.8902
0,34,9.2681
0,35,3.0886
0,36,5.4552
0,37,7.3841
0,38,11.2809
0,39,8.5305
0,40,6.0275
0,41,8.7301
0,42,10.2508
0,43,11.1754
0,44,13.4394
0,45,14.233
0,46,16.4565
0,47,12.692
0,48,9.483
0,49,12.2476
0,50,14.1205
0,51,15.9737
0,52,17.9195
0,53,19.8416
0,54,16.3662
0,55,14.6662
0,56,17.3777
0,57,5.9855
0,58,5.3494
0,59,5.2254
1,0,2.2481
1,1,0.0
1,2,2.0729
1,3,4.0688
1,4,4.2317
1,5,6.0579
1,6,6.8667
1,7,6.293
1,8,8.4603
1,9,8.562
1,10,8.0176
1,11,10.2159
1,12,12.2093
1,13,10.5425
1,14,8.3506
1,15,10.518
1,16,13.5277
1,17,10.5606
1,18,12.5436
1,19,14.2386
1,20,16.225
1,21,14.6298
1,22,12.5149
1,23,14.7426
1,24,16.6735
1,25,14.8539
1,26,17.4205
1,27,18.8022
1,28,4.3512
1,29,2.1083
1,30,1.9692
1,31,2.222
1,32,5.2059
1,33,4.5804
1,34,6.6744
1,35,4.1223
1,36,3.2236
1,37,5.0743
1,38,9.0493
1,39,6.3748
1,40,6.8668
1,41,8.0292
1,42,8.113
1,43,9.1918
1,44,11.3016
1,45,12.5523
1,46,14.7938
1,47,10.5492
1,48,11.6708
1,49,12.1595
1,50,12.3988
1,51,14.2931
1,52,16.2388
1,53,17.6271
1,54,14.2368
1,55,14.4615
1,56,15.237
1,57,5.4029
1,58,3.1178
1,59,2.8366
2,0,4.253
2,1,2.0049
2,2,0.0
2,3,2.0865
2,4,6.2205
2,5,4.3906
2,6,8.8555
2,7,8.2819
2,8,10.5255
2,9,6.6289
2,10,6.3503
2,11,8.7087
2,12,10.7022
2,13,8.6094
2,14,10.3394
2,15,12.5832
2,16,15.5929
2,17,12.3982
2,18,10.6105
2,19,12.7344
2,20,14.2919
2,21,12.6967
2,22,14.5016
2,23,16.7475
2,24,19.592
2,25,16.4347
2,26,15.4873
2,27,18.9889
2,28,6.356
2,29,3.9353
2,30,3.974
2,31,1.7489
2,32,3.2236
2,33,2.6472
2,34,4.7413
2,35,6.0651
2,36,4.366
2,37,3.1411
2,38,7.382
2,39,8.3637
2,40,8.8557
2,41,10.018
2,42,9.7305
2,43,7.5616
2,44,9.7945
2,45,10.6192
2,46,12.8115
2,47,10.3268
2,48,13.736
2,49,14.1483
2,50,12.2458
2,51,12.36
2,52,14.3057
2,53,18.4124
2,54,14.6512
2,55,16.5141
2,56,13.7327
2,57,7.3917
2,58,4.9447
2,59,2.6599
3,0,6.4016
3,1,4.1535
3,2,2.2884
3,3,0.0
3,4,7.9697
3,5,6.3113
3,6,10.7762
3,7,10.3716
3,8,12.5388
3,9,8.3781
3,10,4.2983
3,11,6.6222
3,12,8.6156
3,13,10.5292
3,14,12.4291
3,15,14.5965
3,16,17.7415
3,17,14.318
3,18,12.5302
3,19,10.6478
3,20,14.9671
3,21,14.6165
3,22,18.8465
3,23,18.8961
3,24,23.8594
3,25,20.7965
3,26,19.8652
3,27,16.9888
3,28,8.5046
3,29,6.0839
3,30,6.1226
3,31,3.8975
3,32,1.1371
3,33,4.3964
3,34,2.8895
3,35,8.3917
3,36,6.1152
3,37,2.9412
3,38,5.3419
3,39,10.202
3,40,10.7763
3,41,12.1078
3,42,11.6502
3,43,9.4813
3,44,7.7079
3,45,10.3767
3,46,12.9189
3,47,12.2465
3,48,15.7494
3,49,16.0997
3,50,16.6077
3,51,15.2436
3,52,17.1523
3,53,16.4124
3,54,18.9961
3,55,20.8589
3,56,13.9582
3,57,9.3124
3,58,7.2712
3,59,4.8085
4,0,6.5173
4,1,4.2768
4,2,6.1129
4,3,8.1994
4,4,0.0
4,5,1.8262
4,6,2.7544
4,7,2.1807
4,8,4.3479
4,9,3.9925
4,10,3.7859
4,11,6.1036
4,12,8.094
4,13,5.9731
4,14,4.2382
4,15,6.4056
4,16,9.3805
4,17,6.4482
4,18,8.0461
4,19,10.2012
4,20,12.2628
4,21,10.1324
4,22,8.4026
4,23,10.535
4,24,13.4144
4,25,10.7415
4,26,12.923
4,27,14.2868
4,28,4.4421
4,29,2.1975
4,30,4.0214
4,31,4.6461
4,32,6.8016
4,33,3.5422
4,34,5.1948
4,35,3.638
4,36,2.8405
4,37,4.9975
4,38,4.8176
4,39,2.2625
4,40,2.7545
4,41,3.9169
4,42,4.0007
4,43,4.9252
4,44,7.2613
4,45,8.0549
4,46,10.2783
4,47,6.4369
4,48,7.5585
4,49,8.0471
4,50,8.2864
4,51,9.7956
4,52,11.7413
4,53,13.665
4,54,10.1245
4,55,10.3491
4,56,11.1996
4,57,1.2906
4,58,1.1551
4,59,3.4423
5,0,8.2859
5,1,6.0454
5,2,4.2867
5,3,6.3732
5,4,1.888
5,5,0.0
5,6,4.523
5,7,3.9493
5,8,6.1166
5,9,2.2963
5,10,2.0177
5,11,4.3297
5,12,6.4008
5,13,4.2768
5,14,6.0069
5,15,8.1742
5,16,11.1807
5,17,8.0657
5,18,6.2779
5,19,8.2775
5,20,10.4931
5,21,8.3641
5,22,10.169
5,23,12.3182
5,24,14.4844
5,25,12.1021
5,26,11.1548
5,27,14.5435
5,28,6.2107
5,29,3.9661
5,30,5.79
5,31,3.9449
5,32,4.9753
5,33,1.716
5,34,3.4266
5,35,5.4066
5,36,2.7789
5,37,3.1712
5,38,3.0494
5,39,3.9497
5,40,4.5231
5,41,5.6855
5,42,5.3979
5,43,3.229
5,44,5.4154
5,45,6.2866
5,46,8.5101
5,47,5.9942
5,48,9.3271
5,49,9.8157
5,50,7.9133
5,51,8.0274
5,52,9.9731
5,53,13.9671
5,54,10.3186
5,55,12.1815
5,56,9.4314
5,57,3.0592
5,58,2.9237
5,59,3.7721
6,0,4.6269
6,1,6.7952
6,2,8.7077
6,3,10.7943
6,4,2.5948
6,5,4.4211
6,6,0.0
6,7,3.8455
6,8,1.7138
6,9,5.6574
6,10,6.3808
6,11,7.7684
6,12,9.7884
6,13,7.6645
6,14,5.9297
6,15,3.7715
6,16,6.7812
6,17,8.1214
6,18,9.6655
6,19,11.818
6,20,13.8808
6,21,11.7518
6,22,10.0856
6,23,7.9358
6,24,10.7803
6,25,12.857
6,26,14.5424
6,27,17.7667
6,28,2.5516
6,29,4.7418
6,30,5.005
6,31,7.1644
6,32,9.542
6,33,6.1371
6,34,7.7896
6,35,2.711
6,36,5.3589
6,37,7.5923
6,38,7.4124
6,39,3.9273
6,40,1.4356
6,41,4.1714
6,42,5.6838
6,43,6.6167
6,44,8.8807
6,45,9.6743
6,46,11.8978
6,47,8.1333
6,48,4.9243
6,49,7.6889
6,50,9.5618
6,51,11.415
6,52,13.3608
6,53,15.2829
6,54,11.8075
6,55,10.1075
6,56,12.819
6,57,1.3823
6,58,3.6735
6,59,5.9607
7,0,8.4653
7,1,6.289
7,2,8.3512
7,3,10.4377
7,4,2.0886
7,5,3.9148
7,6,3.8384
7,7,0.0
7,8,2.2395
7,9,1.8118
7,10,5.8745
7,11,3.9229
7,12,5.8159
7,13,3.7924
7,14,2.1298
7,15,4.2519
7,16,7.2721
7,17,4.3398
7,18,5.7934
7,19,7.793
7,20,9.4749
7,21,7.8797
7,22,6.2942
7,23,8.4266
7,24,10.4528
7,25,8.6331
7,26,10.6703
7,27,11.5003
7,28,6.39
7,29,4.2096
7,30,6.0336
7,31,6.6582
7,32,9.2172
7,33,5.7805
7,34,7.4648
7,35,5.6501
7,36,4.8527
7,37,7.2357
7,38,5.0124
7,39,1.5
7,40,1.9552
7,41,1.8085
7,42,1.8923
7,43,2.7445
7,44,5.0086
7,45,5.8022
7,46,8.0257
7,47,4.3285
7,48,5.0387
7,49,5.9387
7,50,6.178
7,51,7.5429
7,52,9.4886
7,53,11.1203
7,54,8.0161
7,55,8.2407
7,56,8.7914
7,57,2.4634
7,58,3.1672
7,59,5.4544
8,0,6.3535
8,1,8.4473
8,2,10.5095
8,3,12.596
8,4,4.2469
8,5,6.2228
8,6,1.7266
8,7,2.1583
8,8,0.0
8,9,3.9702
8,10,8.0328
8,11,6.0812
8,12,8.0746
8,13,5.9507
8,14,4.2159
8,15,2.1855
8,16,5.1952
8,17,6.4258
8,18,7.9517
8,19,9.9866
8,20,12.167
8,21,10.038
8,22,8.3862
8,23,6.3498
8,24,9.1943
8,25,11.271
8,26,12.8286
8,27,14.1924
8,28,4.2783
8,29,6.3679
8,30,6.7316
8,31,8.9397
8,32,11.3755
8,33,7.9388
8,34,9.4417
8,35,4.4377
8,36,7.011
8,37,9.394
8,38,7.1707
8,39,3.6583
8,40,2.2506
8,41,2.5853
8,42,3.9783
8,43,4.9029
8,44,7.1669
8,45,7.9605
8,46,10.184
8,47,6.4145
8,48,3.3383
8,49,6.1029
8,50,7.9758
8,51,9.7013
8,52,11.647
8,53,13.3159
8,54,10.2215
8,55,8.5215
8,56,10.9497
8,57,3.1089
8,58,5.3256
8,59,7.6127
9,0,10.3474
9,1,8.1711
9,2,6.6478
9,3,8.7002
9,4,3.9708
9,5,2.3612
9,6,5.7206
9,7,1.9545
9,8,4.1217
9,9,0.0
9,10,4.3209
9,11,2.2195
9,12,4.0041
9,13,1.9805
9,14,3.8225
9,15,5.9715
9,16,8.8844
9,17,5.7694
9,18,3.9816
9,19,5.9812
9,20,8.0896
9,21,6.0678
9,22,7.8727
9,23,10.0219
9,24,12.1881
9,25,9.8058
9,26,8.8585
9,27,10.1151
9,28,8.2722
9,29,6.0918
9,30,7.9157
9,31,6.3061
9,32,7.3365
9,33,4.0772
9,34,5.7615
9,35,7.5323
9,36,5.14
9,37,5.5324
9,38,3.3091
9,39,1.7849
9,40,3.8374
9,41,3.6906
9,42,3.2331
9,43,0.9327
9,44,3.3053
9,45,3.9903
9,46,6.1134
9,47,3.6979
9,48,6.7078
9,49,7.5511
9,50,5.617
9,51,5.7311
9,52,7.6768
9,53,9.4917
9,54,8.0223
9,55,9.8852
9,56,6.9796
9,57,4.3456
9,58,5.0494
9,59,6.1333
10,0,10.2408
10,1,8.2464
10,2,6.2415
10,3,4.3475
10,4,3.8429
10,5,2.0129
10,6,6.4779
10,7,5.9042
10,8,8.0715
10,9,4.2503
10,10,0.0
10,11,2.3238
10,12,4.3173
10,13,6.2308
10,14,8.1308
10,15,10.1417
10,16,13.1347
10,17,10.0197
10,18,8.2319
10,19,6.3495
10,20,8.4096
10,21,10.3181
10,22,12.123
10,23,14.4625
10,24,18.6988
10,25,14.0561
10,26,13.1087
10,27,12.5258
10,28,8.1656
10,29,5.5829
10,30,7.7449
10,31,5.8998
10,32,3.1612
10,33,3.6709
10,34,1.4089
10,35,7.3615
10,36,4.7338
10,37,3.009
10,38,1.0435
10,39,5.9037
10,40,6.478
10,41,7.8094
10,42,7.3519
10,43,5.183
10,44,3.4096
10,45,6.0783
10,46,6.4266
10,47,7.9145
10,48,11.2945
10,49,11.8014
10,50,9.8673
10,51,8.6333
10,52,11.9271
10,53,11.9493
10,54,12.2726
10,55,14.1355
10,56,7.3479
10,57,5.0141
10,58,4.8786
10,59,5.727
11,0,12.2892
11,1,10.1129
11,2,8.3083
11,3,6.5822
11,4,5.9126
11,5,4.2358
11,6,7.6624
11,7,3.8963
11,8,6.0635
11,9,2.0733
11,10,2.2347
11,11,0.0
11,12,2.1403
11,13,4.0538
11,14,5.8958
11,15,8.0758
11,16,10.9577
11,17,7.8427
11,18,6.0549
11,19,4.1725
11,20,6.2327
11,21,8.1411
11,22,9.946
11,23,12.0952
11,24,15.13
11,25,11.8791
11,26,10.9318
11,27,8.2581
11,28,10.214
11,29,8.0336
11,30,9.8575
11,31,7.9666
11,32,5.3959
11,33,6.019
11,34,3.6436
11,35,9.4741
11,36,7.0818
11,37,5.2437
11,38,1.1911
11,39,3.7267
11,40,5.7792
11,41,5.6324
11,42,5.1749
11,43,3.006
11,44,1.2326
11,45,3.9014
11,46,4.2497
11,47,5.7712
11,48,8.8626
11,49,9.6244
11,50,7.6903
11,51,6.4563
11,52,8.3747
11,53,7.6348
11,54,10.0956
11,55,11.9585
11,56,5.1709
11,57,6.2874
11,58,6.9912
11,59,8.0751
12,0,14.6639
12,1,12.4876
12,2,10.9643
12,3,8.9569
12,4,8.2873
12,5,6.6777
12,6,10.0371
12,7,6.1675
12,8,8.4302
12,9,4.3446
12,10,4.6094
12,11,2.3747
12,12,0.0
12,13,2.3781
12,14,4.2201
12,15,6.3691
12,16,9.3788
12,17,6.167
12,18,4.3792
12,19,2.394
12,20,4.4542
12,21,6.4654
12,22,8.2703
12,23,10.5334
12,24,14.6874
12,25,10.2034
12,26,9.256
12,27,6.4796
12,28,12.5887
12,29,10.4083
12,30,12.2322
12,31,10.6226
12,32,7.7706
12,33,8.3937
12,34,6.0182
12,35,12.7332
12,36,9.4565
12,37,7.6184
12,38,3.5658
12,39,5.9979
12,40,8.1539
12,41,5.9223
12,42,5.4048
12,43,3.3729
12,44,1.2021
12,45,2.1229
12,46,2.4712
12,47,3.959
12,48,7.1054
12,49,7.9487
12,50,6.0146
12,51,4.6778
12,52,6.5962
12,53,5.8563
12,54,8.4199
12,55,10.2828
12,56,3.3924
12,57,8.6621
12,58,9.3659
12,59,10.4498
13,0,12.239
13,1,10.0626
13,2,8.5393
13,3,10.6259
13,4,5.8623
13,5,4.2527
13,6,7.6121
13,7,3.846
13,8,6.0132
13,9,2.023
13,10,6.2442
13,11,4.0808
13,12,2.0235
13,13,0.0
13,14,1.8985
13,15,4.0475
13,16,6.9605
13,17,3.8454
13,18,2.0576
13,19,4.0557
13,20,6.1159
13,21,4.1439
13,22,5.9487
13,23,8.0979
13,24,10.2641
13,25,7.8819
13,26,6.9345
13,27,8.1911
13,28,10.1637
13,29,7.9833
13,30,9.7046
13,31,8.1976
13,32,9.4054
13,33,5.9687
13,34,7.653
13,35,10.3083
13,36,7.0316
13,37,7.4239
13,38,5.2006
13,39,3.6764
13,40,5.7289
13,41,3.6007
13,42,3.0832
13,43,1.0513
13,44,2.9083
13,45,1.7255
13,46,4.1329
13,47,1.7739
13,48,4.7839
13,49,5.6271
13,50,3.693
13,51,3.8071
13,52,5.7528
13,53,7.518
13,54,6.0984
13,55,7.9612
13,56,5.0541
13,57,6.2371
13,58,6.9409
13,59,8.0248
14,0,10.5324
14,1,8.3561
14,2,10.3716
14,3,12.3693
14,4,4.1557
14,5,6.085
14,6,5.9056
14,7,2.1394
14,8,4.2838
14,9,3.8553
14,10,8.1231
14,11,5.9131
14,12,3.8558
14,13,1.8323
14,14,0.0
14,15,2.2226
14,16,5.2159
14,17,2.2836
14,18,3.8007
14,19,5.8329
14,20,7.9482
14,21,5.8869
14,22,4.238
14,23,6.3704
14,24,8.3966
14,25,6.5769
14,26,8.7102
14,27,9.6053
14,28,8.4572
14,29,6.2768
14,30,8.1007
14,31,8.7254
14,32,11.2844
14,33,7.801
14,34,9.532
14,35,7.7173
14,36,6.9198
14,37,9.2562
14,38,7.0329
14,39,3.5671
14,40,4.0836
14,41,1.7758
14,42,1.7671
14,43,2.8836
14,44,4.7405
14,45,3.8421
14,46,5.9652
14,47,2.1896
14,48,2.959
14,49,3.8825
14,50,4.0482
14,51,5.5206
14,52,7.5285
14,53,9.3435
14,54,5.9599
14,55,6.1845
14,56,6.8313
14,57,4.5306
14,58,5.2344
14,59,7.5216
15,0,8.4414
15,1,10.6314
15,2,12.6936
15,3,14.6933
15,4,6.4093
15,5,8.2356
15,6,3.8145
15,7,4.3425
15,8,2.1842
15,9,6.1209
15,10,10.1953
15,11,8.1716
15,12,6.1143
15,13,4.0908
15,14,2.2585
15,15,0.0
15,16,3.0098
15,17,4.301
15,18,6.0469
15,19,8.0465
15,20,9.7283
15,21,8.1332
15,22,6.2008
15,23,4.1643
15,24,7.0088
15,25,8.6531
15,26,10.9238
15,27,13.9312
15,28,6.3661
15,29,8.5563
15,30,8.8195
15,31,11.0276
15,32,13.5597
15,33,10.0595
15,34,11.7438
15,35,6.5256
15,36,9.1952
15,37,11.5782
15,38,9.3549
15,39,5.8091
15,40,4.4074
15,41,2.7783
15,42,4.06
15,43,5.1422
15,44,6.9991
15,45,6.1006
15,46,8.2237
15,47,4.4572
15,48,1.1528
15,49,3.9174
15,50,5.7903
15,51,7.7964
15,52,9.628
15,53,11.1305
15,54,8.036
15,55,6.336
15,56,9.0449
15,57,5.1968
15,58,7.4763
15,59,9.8238
16,0,10.427
16,1,12.6171
16,2,14.6793
16,3,16.679
16,4,8.3757
16,5,10.2368
16,6,5.8002
16,7,6.3281
16,8,4.1698
16,9,8.0071
16,10,12.1809
16,11,10.1034
16,12,8.0076
16,13,6.0523
16,14,4.2442
16,15,2.1087
16,16,0.0
16,17,2.2845
16,18,3.9815
16,19,5.9811
16,20,7.663
16,21,6.0678
16,22,4.1354
16,23,2.143
16,24,4.9875
16,25,6.4743
16,26,8.8584
16,27,9.6884
16,28,8.3518
16,29,10.5377
16,30,10.8051
16,31,13.0132
16,32,15.5453
16,33,12.1086
16,34,13.6371
16,35,8.5112
16,36,11.1808
16,37,13.5639
16,38,11.1847
16,39,7.7871
16,40,6.393
16,41,4.7639
16,42,6.0381
16,43,7.0355
16,44,8.9308
16,45,6.0915
16,46,6.894
16,47,4.2064
16,48,1.7019
16,49,1.8521
16,50,3.725
16,51,5.731
16,52,7.6067
16,53,9.0651
16,54,5.8573
16,55,4.3147
16,56,6.9795
16,57,7.1824
16,58,9.4954
16,59,11.8094
17,0,12.5537
17,1,10.4192
17,2,12.4097
17,3,14.4963
17,4,6.2188
17,5,8.1231
17,6,7.9268
17,7,4.2025
17,8,6.2965
17,9,5.8934
17,10,10.1145
17,11,7.9762
17,12,5.8939
17,13,3.8953
17,14,2.1367
17,15,4.2353
17,16,3.1151
17,17,0.0
17,18,1.8678
17,19,3.8674
17,20,5.5492
17,21,3.9541
17,22,2.1252
17,23,4.2084
17,24,6.2838
17,25,4.4641
17,26,6.7447
17,27,7.4926
17,28,10.4785
17,29,8.3398
17,30,10.1638
17,31,10.7884
17,32,13.3474
17,33,9.761
17,34,11.595
17,35,10.6379
17,36,8.9829
17,37,11.2943
17,38,9.071
17,39,5.6302
17,40,6.1466
17,41,3.8389
17,42,3.8811
17,43,4.9217
17,44,6.8036
17,45,3.8857
17,46,4.7803
17,47,2.0495
17,48,3.0661
17,49,1.7817
17,50,1.9609
17,51,3.6173
17,52,5.4526
17,53,6.9514
17,54,3.8471
17,55,4.0717
17,56,4.8658
17,57,6.5936
17,58,7.2975
17,59,9.5846
18,0,14.3393
18,1,12.6446
18,2,10.6397
18,3,12.7263
18,4,7.9626
18,5,6.3531
18,6,9.7125
18,7,5.9463
18,8,8.1136
18,9,4.1234
18,10,8.3445
18,11,6.2114
18,12,4.1239
18,13,2.1569
18,14,3.956
18,15,6.1479
18,16,5.0525
18,17,1.9375
18,18,0.0
18,19,2.0974
18,20,3.7792
18,21,2.0862
18,22,3.7648
18,23,6.0403
18,24,7.9234
18,25,5.8242
18,26,4.8769
18,27,5.8047
18,28,12.2641
18,29,10.0837
18,30,11.9076
18,31,10.298
18,32,11.5058
18,33,8.0691
18,34,9.7534
18,35,12.4235
18,36,9.1319
18,37,9.5243
18,38,7.301
18,39,5.7768
18,40,7.8293
18,41,5.7011
18,42,5.1836
18,43,3.1517
18,44,5.0087
18,45,2.2078
18,46,3.0103
18,47,1.9406
18,48,5.0035
18,49,3.7192
18,50,1.6354
18,51,2.0131
18,52,3.4184
18,53,5.1814
18,54,4.0407
18,55,5.7114
18,56,3.0958
18,57,8.3375
18,58,9.0413
18,59,10.1252
19,0,16.4115
19,1,14.7213
19,2,12.7118
19,3,10.7044
19,4,10.0348
19,5,8.2669
19,6,11.7846
19,7,7.6211
19,8,10.1478
19,9,6.0372
19,10,6.3569
19,11,4.1222
19,12,2.0649
19,13,4.0708
19,14,5.9127
19,15,8.0866
19,16,6.9664
19,17,3.8513
19,18,2.0635
19,19,0.0
19,20,2.1112
19,21,4.1425
19,22,5.9474
19,23,8.1209
19,24,10.27
19,25,7.8878
19,26,7.0652
19,27,4.1367
19,28,14.3298
19,29,12.1558
19,30,13.9798
19,31,12.3701
19,32,9.5181
19,33,10.1412
19,34,7.7658
19,35,14.4892
19,36,11.2041
19,37,9.3659
19,38,5.3134
19,39,7.6906
19,40,9.9014
19,41,7.6698
19,42,7.0974
19,43,5.0656
19,44,2.9497
19,45,2.1128
19,46,0.9129
19,47,3.8544
19,48,6.9174
19,49,5.633
19,50,3.6989
19,51,2.3349
19,52,4.2533
19,53,3.5134
19,54,6.1043
19,55,7.9599
19,56,1.0494
19,57,10.2513
19,58,10.9551
19,59,12.1973
20,0,18.6147
20,1,16.9245
20,2,14.9151
20,3,12.9076
20,4,12.238
20,5,10.6284
20,6,13.9878
20,7,9.7038
20,8,12.3889
20,9,8.2902
20,10,8.5601
20,11,6.3254
20,12,4.2681
20,13,6.3238
20,14,7.7564
20,15,9.9303
20,16,8.2428
20,17,5.6949
20,18,3.9072
20,19,2.2543
20,20,0.0
20,21,2.2578
20,22,4.0627
20,23,6.2119
20,24,8.3781
20,25,5.9958
20,26,5.0484
20,27,2.2519
20,28,16.5395
20,29,14.359
20,30,16.183
20,31,14.5734
20,32,11.7214
20,33,12.3444
20,34,9.969
20,35,16.6989
20,36,13.4073
20,37,11.5691
20,38,7.5166
20,39,10.0521
20,40,12.1046
20,41,9.873
20,42,9.3555
20,43,7.3186
20,44,5.1529
20,45,4.0942
20,46,3.1161
20,47,5.6981
20,48,8.761
20,49,6.1024
20,50,3.9732
20,51,2.0181
20,52,2.3686
20,53,1.6286
20,54,4.2123
20,55,6.0752
20,56,1.3444
20,57,12.6128
20,58,13.3167
20,59,14.4005
21,0,16.5101
21,1,14.8154
21,2,12.8105
21,3,14.897
21,4,10.1334
21,5,8.5238
21,6,11.8832
21,7,8.1171
21,8,10.2844
21,9,6.2942
21,10,10.4091
21,11,8.1744
21,12,6.1171
21,13,4.3277
21,14,6.0618
21,15,8.3187
21,16,6.2468
21,17,4.1082
21,18,2.3205
21,19,4.1033
21,20,2.0218
21,21,0.0
21,22,2.0666
21,23,4.2158
21,24,6.233
21,25,3.8508
21,26,2.9034
21,27,4.0472
21,28,14.4349
21,29,12.2544
21,30,14.0784
21,31,12.4688
21,32,13.5703
21,33,10.2398
21,34,11.818
21,35,13.6949
21,36,11.3027
21,37,11.6951
21,38,9.3655
21,39,7.9475
21,40,10.0
21,41,7.8718
21,42,7.3543
21,43,5.3225
21,44,7.0019
21,45,4.3786
21,46,4.9651
21,47,4.1113
21,48,7.1743
21,49,4.1063
21,50,2.2907
21,51,2.1841
21,52,1.6391
21,53,3.4239
21,54,2.0673
21,55,4.0791
21,56,3.1923
21,57,10.5083
21,58,11.2121
21,59,12.296
22,0,14.6071
22,1,12.5236
22,2,14.5042
22,3,16.5226
22,4,8.3232
22,5,10.2176
22,6,9.9803
22,7,6.3069
22,8,8.3104
22,9,7.9879
22,10,12.2091
22,11,10.0759
22,12,7.9551
22,13,5.9997
22,14,4.2411
22,15,6.2492
22,16,4.1801
22,17,2.232
22,18,3.929
22,19,5.9286
22,20,3.9262
22,21,1.9044
22,22,0.0
22,23,2.1492
22,24,4.2246
22,25,2.4049
22,26,4.36
22,27,5.4333
22,28,12.5319
22,29,10.4442
22,30,12.2682
22,31,12.8928
22,32,15.3703
22,33,11.9336
22,34,13.6179
22,35,12.6913
22,36,11.0873
22,37,13.3888
22,38,11.1655
22,39,7.7346
22,40,8.251
22,41,5.9432
22,42,5.9855
22,43,6.9829
22,44,8.8782
22,45,6.039
22,46,6.8695
22,47,4.1539
22,48,5.0799
22,49,2.1056
22,50,2.1125
22,51,4.0886
22,52,3.3799
22,53,5.3283
22,54,1.7879
22,55,2.0125
22,56,5.0978
22,57,8.698
22,58,9.4018
22,59,11.689
23,0,12.458
23,1,14.6967
23,2,16.7102
23,3,18.7099
23,4,10.4067
23,5,12.2678
23,6,7.8311
23,7,8.3591
23,8,6.2008
23,9,10.1709
23,10,14.2592
23,11,12.1343
23,12,10.1309
23,13,8.1074
23,14,6.2751
23,15,4.1396
23,16,2.031
23,17,4.3116
23,18,6.0125
23,19,8.0121
23,20,6.1661
23,21,4.1443
23,22,2.3058
23,23,0.0
23,24,3.0005
23,25,4.6448
23,26,7.3267
23,27,8.1915
23,28,10.3828
23,29,12.5277
23,30,12.8361
23,31,15.0442
23,32,17.4205
23,33,13.9838
23,34,15.6681
23,35,10.5422
23,36,13.6882
23,37,15.5948
23,38,13.2157
23,39,9.8181
23,40,8.424
23,41,6.7836
23,42,8.0691
23,43,9.1588
23,44,11.0157
23,45,7.9527
23,46,8.925
23,47,6.2374
23,48,3.9134
23,49,2.4266
23,50,4.1961
23,51,6.2923
23,52,5.6197
23,53,7.5682
23,54,4.0277
23,55,2.3277
23,56,7.3376
23,57,9.2134
23,58,11.4854
23,59,13.8404
24,0,14.5661
24,1,16.8049
24,2,18.8222
24,3,20.8181
24,4,12.5149
24,5,14.5318
24,6,9.9393
24,7,10.4672
24,8,8.3089
24,9,12.2791
24,10,16.5232
24,11,14.3901
24,12,12.2391
24,13,10.2156
24,14,8.3833
24,15,6.2478
24,16,4.1391
24,17,6.4237
24,18,8.1207
24,19,10.1203
24,20,8.1182
24,21,6.0964
24,22,4.2579
24,23,2.1082
24,24,0.0
24,25,3.4246
24,26,5.8363
24,27,6.6529
24,28,12.4909
24,29,14.681
24,30,14.9443
24,31,17.1523
24,32,19.6845
24,33,16.2478
24,34,17.9321
24,35,12.6503
